[Header]
; ACMS Data File (default extension .dat)
; Copyright 1999, Quantum Design, Inc. All rights reserved.
TITLE,Na1.8IrO3
FILEOPENTIME,37290260.33,03/08/2014,4:33 pm
BYAPP,ACMS,1.0,1.1
INFO,PPMS ACMS Option Version: 1.0.9 Build 14,APPNAME
INFO,HARMONICS,1
INFO,DCWb1132,Na1.8IrO3
INFO,mass (g) =,0.0454
INFO,,
INFO,,
INFO,,
INFO,,
INFO,,
INFO,,
INFO,,
INFO,,
DATATYPE,COMMENT,1
DATATYPE,TIME,2
FIELDGROUP,AC Mag,2,3,4,5,6,8,9,10,11,12
FIELDGROUP,DC Mag,2,3,4,7,8
STARTUPGROUP,All
STARTUPAXIS,X,2,LINEAR,AUTO
TIMEMODE,MINUTES,RELATIVE
PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES
RECORDS,ALL_RECORDS
DATATYPE,TIME,2
DATATYPE,COMMENT,1
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Frequency (Hz),Amplitude (Oe),M-DC (emu),M-Std.Dev. (emu),M' (emu),M'' (emu),Moment (emu),Phase (deg),Calcoil' (emu),Calcoil'' (emu),Calcoil (emu),CC Phase (deg),Count,Gain,Measure Type,Elapsed (sec),Sample Center (cm),Max.Signal (V),PPMS Status (code),DSP Status (code),Min.Temperature (K),Max.Temperature (K),Min.Field (Oe),Max.Field (Oe),DC Position (cm),PPMS Temperature (K),PPMS Position,Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,37300439.08,1.78658775,9.947,10000,2.99843742433504,,0.117193703244515,,,,,,,,,,125,1,0,-0.0161702560576589,0.000461819506010335,4373,0,1.7857269,1.7874486,9.947,9.947,,1.78075,,,,,,,,,,,,,,,,,,,,,,,1.78658775
,37300473.77,1.7983126,9.947,10000,2.99843742433504,,0.10230101290124,,,,,,,,,,125,1,0,-0.00412671620416338,0.000461737060564007,4373,0,1.791036,1.8055892,9.947,9.947,,1.78375,,,,,,,,,,,,,,,,,,,,,,,1.7983126
,37300509.12,1.7990394,9.947,10000,2.99843742433504,,0.113496996144347,,,,,,,,,,125,1,0,-0.00859760911936425,0.000461732510003657,4373,0,1.7909966,1.8070822,9.947,9.947,,1.78395,,,,,,,,,,,,,,,,,,,,,,,1.7990394
,37300543.00,1.7926115,9.947,10000,2.99843742433504,,0.110196461228355,,,,,,,,,,125,1,0,-0.0120253429779584,0.000461587695112541,4373,0,1.7922094,1.7930136,9.947,9.947,,1.7842,,,,,,,,,,,,,,,,,,,,,,,1.7926115
,37302663.31,1.99174265,9999.192,,,0.00394196938319044,0.000109301602579164,,,,,,,,,5,125,0,21.3119996711612,0.249967693167972,5.7036656721409E-5,4373,0,1.9541748,2.0293105,9999.192,9999.192,0.249967693167972,1.95295,,,,,,,,,,,,,,,,,,,,,,,1.99174265
,37302691.53,2.0214778,9999.192,,,0.00393533235596083,4.23418498111537E-5,,,,,,,,,5,125,0,21.1410000454634,0.195105922562139,5.81261514478671E-5,4374,0,2.0031404,2.0398152,9999.192,9999.192,0.195105922562139,1.9463,,,,,,,,,,,,,,,,,,,,,,,2.0214778
,37302718.80,2.1582111,9999.192,,,0.00394389146692662,3.02097101206442E-5,,,,,,,,,5,125,0,20.6400000723079,0.210566195725658,5.53894485726161E-5,4374,0,1.9729104,2.3435118,9999.192,9999.192,0.210566195725658,1.9666,,,,,,,,,,,,,,,,,,,,,,,2.1582111
,37302912.43,2.006372,9999.192,,,0.00392499279465165,3.13807259835496E-5,,,,,,,,,5,125,0,7.07799985539168,0.210566195725658,5.57253559438488E-5,4370,0,1.9981936,2.0145504,9999.192,9999.192,0.174793150613021,1.97155,,,,,,,,,,,,,,,,,,,,,,,2.006372
,37303034.65,3.0298377,9999.192,,,0.00385099365750458,4.1064851008463E-5,,,,,,,,,5,125,0,6.75000047776848,0.210566195725658,5.631574383513E-5,4370,0,3.0101106,3.0495648,9999.192,9999.192,0.160287930684033,2.93745,,,,,,,,,,,,,,,,,,,,,,,3.0298377
,37303162.35,4.01967165,9999.192,,,0.00376117009988422,4.7106688405536E-5,,,,,,,,,5,125,0,6.79700032342225,0.210566195725658,5.64613094586904E-5,4370,0,4.0113673,4.027976,9999.192,9999.192,0.156125101322215,4.02745,,,,,,,,,,,,,,,,,,,,,,,4.01967165
,37303282.37,5.02612855,9999.192,,,0.00369328768768354,5.06832461885728E-5,,,,,,,,,5,125,0,6.98499970603734,0.210566195725658,5.60510633485849E-5,4370,0,5.0064688,5.0457883,9999.192,9999.192,0.125618825812654,5.02135,,,,,,,,,,,,,,,,,,,,,,,5.02612855
,37303402.89,6.02608465,9999.192,,,0.00362393765654631,5.14805505732534E-5,,,,,,,,,5,125,0,6.74999984912574,0.210566195725658,5.59329857703286E-5,4370,0,6.0045457,6.0476236,9999.192,9999.192,0.133344189040788,6.01515,,,,,,,,,,,,,,,,,,,,,,,6.02608465
,37303525.29,7.05022,9999.192,,,0.00358700089039745,5.35415056123795E-5,,,,,,,,,5,125,0,6.67199974413961,0.210566195725658,5.61769205623046E-5,4370,0,7.0166659,7.0837741,9999.192,9999.192,0.154055169356897,7.04025,,,,,,,,,,,,,,,,,,,,,,,7.05022
,37303646.29,8.04584555,9999.192,,,0.00353269712129078,5.20453589648687E-5,,,,,,,,,5,125,0,7.3429998010397,0.210566195725658,5.56553392246778E-5,4370,0,8.0176764,8.0740147,9999.192,9999.192,0.144003595247194,8.0474,,,,,,,,,,,,,,,,,,,,,,,8.04584555
,37303764.82,9.0312686,9999.192,,,0.00349819780973009,5.24720702751119E-5,,,,,,,,,5,125,0,6.71900021843612,0.210566195725658,5.53827062218812E-5,4370,0,9.0073757,9.0551615,9999.192,9999.192,0.12808760978811,9.0305,,,,,,,,,,,,,,,,,,,,,,,9.0312686
,37303888.16,10.0451875,9999.192,,,0.00348059864540284,5.16045424207768E-5,,,,,,,,,5,125,0,7.09400007035583,0.210566195725658,5.57053017724319E-5,4370,0,10.0148602,10.0755148,9999.192,9999.192,0.157746434572569,10.0584,,,,,,,,,,,,,,,,,,,,,,,10.0451875
,37304007.40,11.03884175,9999.192,,,0.00346934154819834,5.18728062431255E-5,,,,,,,,,5,125,0,6.84400016907603,0.210566195725658,5.53944621154704E-5,4370,0,11.0094872,11.0681963,9999.192,9999.192,0.148666316493742,11.0465,,,,,,,,,,,,,,,,,,,,,,,11.03884175
,37304128.83,12.0426421,9999.192,,,0.00344452921567589,5.04977207847847E-5,,,,,,,,,5,125,0,7.03100000973791,0.210566195725658,5.54630957883367E-5,4370,0,12.0093002,12.075984,9999.192,9999.192,0.149454986152549,12.06465,,,,,,,,,,,,,,,,,,,,,,,12.0426421
,37304248.62,13.04472495,9999.192,,,0.00344737473659345,5.17724714789335E-5,,,,,,,,,5,125,0,6.95300053339452,0.210566195725658,5.5644447735029E-5,4370,0,13.0116606,13.0777893,9999.192,9999.192,0.150445500135864,13.0543,,,,,,,,,,,,,,,,,,,,,,,13.04472495
,37304368.27,14.03545,9999.192,,,0.00344523485816194,5.03977484072409E-5,,,,,,,,,5,125,0,6.95299990475178,0.210566195725658,5.56586239596512E-5,4370,0,14.0081387,14.0627613,9999.192,9999.192,0.160987655379928,14.0477,,,,,,,,,,,,,,,,,,,,,,,14.03545
,37304490.14,15.04418705,9999.192,,,0.00346637313713485,5.2093453091086E-5,,,,,,,,,5,125,0,6.95400007534772,0.210566195725658,5.57609693861925E-5,4370,0,15.0129881,15.075386,9999.192,9999.192,0.150348532650621,15.06935,,,,,,,,,,,,,,,,,,,,,,,15.04418705
,37304609.89,16.0406351,9999.192,,,0.00346445390466916,5.19955329517318E-5,,,,,,,,,5,125,0,6.67199974413961,0.210566195725658,5.58823316994222E-5,4370,0,16.0102768,16.0709934,9999.192,9999.192,0.151569681389862,16.06725,,,,,,,,,,,,,,,,,,,,,,,16.0406351
,37304731.06,17.04598235,9999.192,,,0.00348012995259748,5.00882818648844E-5,,,,,,,,,5,125,0,6.67199974413961,0.210566195725658,5.5442531550498E-5,4370,0,17.0167942,17.0751705,9999.192,9999.192,0.13729767994645,17.06745,,,,,,,,,,,,,,,,,,,,,,,17.04598235
,37304850.89,18.04055115,9999.192,,,0.00347450787104465,4.95330843137389E-5,,,,,,,,,5,125,0,6.88999984413385,0.210566195725658,5.52700197183509E-5,4370,0,18.0087795,18.0723228,9999.192,9999.192,0.143366827116915,18.06535,,,,,,,,,,,,,,,,,,,,,,,18.04055115
,37304971.78,19.04172135,9999.192,,,0.00347060182371041,4.94180614380264E-5,,,,,,,,,5,125,0,7.03100000973791,0.210566195725658,5.55585586367622E-5,4370,0,19.0115433,19.0718994,9999.192,9999.192,0.158665946466032,19.06765,,,,,,,,,,,,,,,,,,,,,,,19.04172135
,37305091.85,20.0389481,9999.192,,,0.00344261802042411,4.97584331377555E-5,,,,,,,,,5,125,0,7.00000037904829,0.210566195725658,5.56214313608218E-5,4370,0,20.0091763,20.0687199,9999.192,9999.192,0.170386810710244,20.074,,,,,,,,,,,,,,,,,,,,,,,20.0389481
,37305211.57,21.03333475,9999.192,,,0.00342159661609468,4.90408348443653E-5,,,,,,,,,5,125,0,7.11000028531998,0.210566195725658,5.53741693690777E-5,4370,0,21.0047989,21.0618706,9999.192,9999.192,0.161494780725592,21.0654,,,,,,,,,,,,,,,,,,,,,,,21.03333475
,37305332.37,22.03929045,9999.192,,,0.00341698538238904,4.84576228995715E-5,,,,,,,,,5,125,0,7.20299980603159,0.210566195725658,5.51472617183799E-5,4370,0,22.0110264,22.0675545,9999.192,9999.192,0.142300352100004,22.0725,,,,,,,,,,,,,,,,,,,,,,,22.03929045
,37305452.10,23.03974915,9999.192,,,0.0033973102677714,4.88885546402653E-5,,,,,,,,,5,125,0,6.95299990475178,0.210566195725658,5.51944071384684E-5,4370,0,23.009882,23.0696163,9999.192,9999.192,0.151367073576862,23.07695,,,,,,,,,,,,,,,,,,,,,,,23.03974915
,37305574.06,24.05215455,9999.192,,,0.00336446853960911,4.97835871215639E-5,,,,,,,,,5,125,0,6.90600005909801,0.210566195725658,5.50919095531696E-5,4370,0,24.0197773,24.0845318,9999.192,9999.192,0.152090150453586,24.0945,,,,,,,,,,,,,,,,,,,,,,,24.05215455
,37305693.94,25.0431442,9999.192,,,0.00336400286380356,4.9962691371688E-5,,,,,,,,,5,125,0,6.96899949107319,0.210566195725658,5.51528650698834E-5,4370,0,25.0107765,25.0755119,9999.192,9999.192,0.151695076439531,25.08765,,,,,,,,,,,,,,,,,,,,,,,25.0431442
,37305813.83,26.040925,9999.192,,,0.00333526479523924,5.19167370862769E-5,,,,,,,,,5,125,0,7.06199964042753,0.210566195725658,5.48738383401995E-5,4370,0,26.0098209,26.0720291,9999.192,9999.192,0.128426735242798,26.08825,,,,,,,,,,,,,,,,,,,,,,,26.040925
,37305935.50,27.05048275,9999.192,,,0.00330802852031736,5.14532334227409E-5,,,,,,,,,5,125,0,6.67200037278235,0.210566195725658,5.5063397482214E-5,4370,0,27.019249,27.0817165,9999.192,9999.192,0.167204532155704,27.1114,,,,,,,,,,,,,,,,,,,,,,,27.05048275
,37306055.18,28.0448446,9999.192,,,0.0033149215754006,5.08848560638315E-5,,,,,,,,,5,125,0,7.04700022470206,0.210566195725658,5.48993055306931E-5,4370,0,28.0097961,28.0798931,9999.192,9999.192,0.149883871304632,28.09845,,,,,,,,,,,,,,,,,,,,,,,28.0448446
,37306174.25,29.0431976,9999.192,,,0.00328125014103359,5.08309374504213E-5,,,,,,,,,5,125,0,6.93799986038357,0.210566195725658,5.47096965671439E-5,4370,0,29.0097694,29.0766258,9999.192,9999.192,0.144593340021766,29.0933,,,,,,,,,,,,,,,,,,,,,,,29.0431976
,37306295.14,30.0380859,9999.192,,,0.00325013933357285,5.13284116133903E-5,,,,,,,,,5,125,0,7.06199964042753,0.210566195725658,5.46582135278331E-5,4370,0,30.0122871,30.0638847,9999.192,9999.192,0.150138530041413,30.07505,,,,,,,,,,,,,,,,,,,,,,,30.0380859
