'y-axis saved as y
'x,PDC_LDFZ_20201113_1_217_2_(PBF1_20201110)-4hr-PbTiO3-second-cut-of-grown-crystal.raw,Ycalc,Diff
5,46483,0,0
5.0171352,46457,0,0
5.0342704,45798,0,0
5.0514056,45502,0,0
5.0685408,45365,0,0
5.085676,44928,0,0
5.1028112,44817,0,0
5.1199464,44767,0,0
5.1370816,44401,0,0
5.1542168,44231,0,0
5.171352,44107,0,0
5.1884872,43803,0,0
5.2056224,43585,0,0
5.2227576,43238,0,0
5.2398928,43248,0,0
5.257028,43005,0,0
5.2741632,42935,0,0
5.2912984,42396,0,0
5.3084336,42742,0,0
5.3255688,42374,0,0
5.342704,41764,0,0
5.3598392,41772,0,0
5.3769744,41394,0,0
5.3941096,41517,0,0
5.4112448,41467,0,0
5.42838,41212,0,0
5.4455152,40715,0,0
5.4626504,40602,0,0
5.4797856,40598,0,0
5.4969208,40420,0,0
5.514056,40231,0,0
5.5311912,40078,0,0
5.5483264,40163,0,0
5.5654616,39924,0,0
5.5825968,39752,0,0
5.599732,39679,0,0
5.6168672,39315,0,0
5.6340024,39067,0,0
5.6511376,39089,0,0
5.6682728,39106,0,0
5.685408,38863,0,0
5.7025432,38856,0,0
5.7196784,38586,0,0
5.7368136,38957,0,0
5.7539488,38191,0,0
5.771084,38066,0,0
5.7882192,37798,0,0
5.8053544,37916,0,0
5.8224896,38056,0,0
5.8396248,37558,0,0
5.85676,37654,0,0
5.8738952,37596,0,0
5.8910304,37333,0,0
5.9081656,37405,0,0
5.9253008,37103,0,0
5.942436,36809,0,0
5.9595712,36761,0,0
5.9767064,36768,0,0
5.9938416,36550,0,0
6.0109768,36487,0,0
6.028112,36183,0,0
6.0452472,36384,0,0
6.0623824,36077,0,0
6.0795176,36176,0,0
6.0966528,35777,0,0
6.113788,35202,0,0
6.1309232,35627,0,0
6.1480584,35465,0,0
6.1651936,35273,0,0
6.1823288,34976,0,0
6.199464,34955,0,0
6.2165992,34881,0,0
6.2337344,34415,0,0
6.2508696,34842,0,0
6.2680048,34074,0,0
6.28514,34528,0,0
6.3022752,34507,0,0
6.3194104,33879,0,0
6.3365456,33655,0,0
6.3536808,33591,0,0
6.370816,33476,0,0
6.3879512,33521,0,0
6.4050864,33272,0,0
6.4222216,33146,0,0
6.4393568,32712,0,0
6.456492,33131,0,0
6.4736272,33063,0,0
6.4907624,32588,0,0
6.5078976,32561,0,0
6.5250328,31934,0,0
6.542168,32272,0,0
6.5593032,31967,0,0
6.5764384,31974,0,0
6.5935736,31575,0,0
6.6107088,31493,0,0
6.627844,31211,0,0
6.6449792,31324,0,0
6.6621144,30863,0,0
6.6792496,30594,0,0
6.6963848,30755,0,0
6.71352,30615,0,0
6.7306552,30162,0,0
6.7477904,30112,0,0
6.7649256,29892,0,0
6.7820608,29343,0,0
6.799196,29246,0,0
6.8163312,29536,0,0
6.8334664,29119,0,0
6.8506016,28942,0,0
6.8677368,28545,0,0
6.884872,28695,0,0
6.9020072,28243,0,0
6.9191424,28132,0,0
6.9362776,28113,0,0
6.9534128,28179,0,0
6.970548,27769,0,0
6.9876832,27651,0,0
7.0048184,27254,0,0
7.0219536,27335,0,0
7.0390888,27006,0,0
7.056224,27105,0,0
7.0733592,26937,0,0
7.0904944,26822,0,0
7.1076296,26625,0,0
7.1247648,26402,0,0
7.1419,26375,0,0
7.1590352,25887,0,0
7.1761704,25970,0,0
7.1933056,25554,0,0
7.2104408,25394,0,0
7.227576,25218,0,0
7.2447112,25159,0,0
7.2618464,25051,0,0
7.2789816,24953,0,0
7.2961168,24559,0,0
7.313252,24480,0,0
7.3303872,24454,0,0
7.3475224,24304,0,0
7.3646576,23988,0,0
7.3817928,23717,0,0
7.398928,23984,0,0
