'y-axis saved as y
'x,PDC_PTFI_20200618_1_217_4hr_blackxtal_PbTiO3.raw,Ycalc,Diff
5,29328,0,0
5.0171561,28824,0,0
5.0343122,28567,0,0
5.0514683,28571,0,0
5.0686244,28236,0,0
5.0857805,28126,0,0
5.1029366,27566,0,0
5.1200927,27864,0,0
5.1372488,27382,0,0
5.1544049,26993,0,0
5.171561,26749,0,0
5.1887171,26631,0,0
5.2058732,26313,0,0
5.2230293,26209,0,0
5.2401854,26136,0,0
5.2573415,26081,0,0
5.2744976,25982,0,0
5.2916537,25750,0,0
5.3088098,25451,0,0
5.3259659,25243,0,0
5.343122,24936,0,0
5.3602781,25010,0,0
5.3774342,24807,0,0
5.3945903,24751,0,0
5.4117464,24517,0,0
5.4289025,24276,0,0
5.4460586,24218,0,0
5.4632147,24000,0,0
5.4803708,23699,0,0
5.4975269,23320,0,0
5.514683,23668,0,0
5.5318391,23245,0,0
5.5489952,23087,0,0
5.5661513,23022,0,0
5.5833074,23190,0,0
5.6004635,22671,0,0
5.6176196,23022,0,0
5.6347757,22490,0,0
5.6519318,22250,0,0
5.6690879,22431,0,0
5.686244,22171,0,0
5.7034001,22022,0,0
5.7205562,21711,0,0
5.7377123,22057,0,0
5.7548684,21693,0,0
5.7720245,21479,0,0
5.7891806,21265,0,0
5.8063367,21544,0,0
5.8234928,21291,0,0
5.8406489,20886,0,0
5.857805,20818,0,0
5.8749611,20666,0,0
5.8921172,20833,0,0
5.9092733,20726,0,0
5.9264294,20205,0,0
5.9435855,20081,0,0
5.9607416,19930,0,0
5.9778977,20131,0,0
5.9950538,19843,0,0
6.0122099,19915,0,0
6.029366,19869,0,0
6.0465221,19514,0,0
6.0636782,19677,0,0
6.0808343,19429,0,0
6.0979904,19211,0,0
6.1151465,19277,0,0
6.1323026,19030,0,0
6.1494587,18986,0,0
6.1666148,18816,0,0
6.1837709,18903,0,0
6.200927,18530,0,0
6.2180831,18455,0,0
6.2352392,18294,0,0
6.2523953,17897,0,0
6.2695514,17844,0,0
6.2867075,17773,0,0
6.3038636,17714,0,0
6.3210197,17503,0,0
6.3381758,17521,0,0
6.3553319,17462,0,0
6.372488,17495,0,0
6.3896441,17151,0,0
6.4068002,16965,0,0
6.4239563,16890,0,0
6.4411124,16759,0,0
6.4582685,16533,0,0
6.4754246,16517,0,0
6.4925807,16398,0,0
6.5097368,16314,0,0
6.5268929,15995,0,0
6.544049,16037,0,0
6.5612051,15936,0,0
6.5783612,15875,0,0
6.5955173,15660,0,0
6.6126734,15391,0,0
6.6298295,15326,0,0
6.6469856,15195,0,0
6.6641417,15053,0,0
6.6812978,14842,0,0
6.6984539,14823,0,0
6.71561,14713,0,0
6.7327661,14449,0,0
6.7499222,14294,0,0
6.7670783,14330,0,0
6.7842344,14364,0,0
6.8013905,13835,0,0
6.8185466,13862,0,0
6.8357027,13870,0,0
6.8528588,13850,0,0
6.8700149,13702,0,0
6.887171,13498,0,0
6.9043271,13258,0,0
6.9214832,13300,0,0
6.9386393,13133,0,0
6.9557954,13134,0,0
6.9729515,12876,0,0
6.9901076,12744,0,0
7.0072637,12581,0,0
7.0244198,12510,0,0
7.0415759,12152,0,0
7.058732,12394,0,0
7.0758881,12345,0,0
7.0930442,12247,0,0
7.1102003,11884,0,0
7.1273564,11666,0,0
7.1445125,11862,0,0
7.1616686,11553,0,0
7.1788247,11567,0,0
7.1959808,11345,0,0
7.2131369,11404,0,0
7.230293,10997,0,0
7.2474491,11223,0,0
7.2646052,10824,0,0
7.2817613,10881,0,0
7.2989174,10768,0,0
7.3160735,10664,0,0
7.3332296,10542,0,0
7.3503857,10585,0,0
7.3675418,10406,0,0
7.3846979,10296,0,0
7.401854,10363,0,0
7.4190101,10106,0,0
7.4361662,10178,0,0
7.4533223,10051,0,0
7.4704784,9840,0,0
7.4876345,9666,0,0
7.5047906,9591,0,0
7.5219467,9528,0,0
7.5391028,9529,0,0
7.5562589,9352,0,0
7.573415,9287,0,0
7.5905711,9341,0,0
7.6077272,9290,0,0
7.6248833,9236,0,0
7.6420394,9093,0,0
7.6591955,8906,0,0
7.6763516,8838,0,0
7.6935077,8926,0,0
7.7106638,8893,0,0
7.7278199,8695,0,0
7.744976,8680,0,0
7.7621321,8868,0,0
7.7792882,8745,0,0
7.7964443,8542,0,0
7.8136004,8566,0,0
7.8307565,8541,0,0
7.8479126,8268,0,0
7.8650687,8377,0,0
7.8822248,8438,0,0
7.8993809,8453,0,0
7.916537,8423,0,0
7.9336931,8455,0,0
7.9508492,8300,0,0
7.9680053,8460,0,0
7.9851614,8519,0,0
8.0023175,8244,0,0
8.0194736,8430,0,0
8.0366297,8435,0,0
8.0537858,8359,0,0
8.0709419,8301,0,0
8.088098,8241,0,0
8.1052541,8412,0,0
8.1224102,8343,0,0
8.1395663,8387,0,0
8.1567224,8417,0,0
8.1738785,8347,0,0
8.1910346,8437,0,0
8.2081907,8264,0,0
8.2253468,8021,0,0
8.2425029,8386,0,0
8.259659,8519,0,0
8.2768151,8409,0,0
8.2939712,8429,0,0
8.3111273,8535,0,0
8.3282834,8339,0,0
8.3454395,8344,0,0
8.3625956,8324,0,0
8.3797517,8423,0,0
8.3969078,8370,0,0
8.4140639,8482,0,0
8.43122,8404,0,0
8.4483761,8216,0,0
8.4655322,8484,0,0
8.4826883,8388,0,0
8.4998444,8382,0,0
8.5170005,8532,0,0
8.5341566,8389,0,0
8.5513127,8422,0,0
8.5684688,8261,0,0
8.5856249,8401,0,0
8.602781,8370,0,0
8.6199371,8374,0,0
8.6370932,8408,0,0
8.6542493,8518,0,0
8.6714054,8675,0,0
8.6885615,8321,0,0
8.7057176,8354,0,0
8.7228737,8434,0,0
8.7400298,8598,0,0
8.7571859,8429,0,0
8.774342,8544,0,0
8.7914981,8328,0,0
8.8086542,8378,0,0
8.8258103,8514,0,0
8.8429664,8506,0,0
8.8601225,8623,0,0
8.8772786,8626,0,0
8.8944347,8534,0,0
8.9115908,8463,0,0
8.9287469,8533,0,0
8.945903,8534,0,0
8.9630591,8508,0,0
