wavelength,"(1406, 2263)","(1404, 2273)","(1411, 2282)","(1404, 2295)","(1411, 2310)","(1404, 2317)","(1415, 2298)","(1404, 2306)","(1411, 2321)","(1404, 2285)"
399.471,0.380192,0.344051,0.203883,0.334405,0.300971,0.273312,0.25817,0.29582,0.36246,0.200647
401.098,0.32973,0.339726,0.325203,0.20274,0.314363,0.326027,0.357341,0.315068,0.273713,0.368132
402.725,0.261745,0.324138,0.193258,0.287356,0.373034,0.363218,0.374134,0.331034,0.359551,0.309091
404.351,0.29588,0.269962,0.255238,0.26616,0.371429,0.313688,0.272553,0.250951,0.335238,0.258126
405.978,0.212662,0.235294,0.286634,0.238562,0.243156,0.297386,0.275862,0.256536,0.26409,0.248788
407.605,0.232782,0.211405,0.213389,0.232267,0.259414,0.242003,0.286932,0.218359,0.244073,0.222067
409.232,0.210275,0.255114,0.245823,0.166065,0.186158,0.247894,0.242945,0.21059,0.26611,0.204327
410.858,0.240454,0.18476,0.19667,0.176409,0.19563,0.206681,0.206417,0.230689,0.264308,0.170168
412.485,0.23279,0.227106,0.165605,0.188645,0.242038,0.263736,0.293071,0.205128,0.251137,0.220183
414.112,0.213247,0.214227,0.180713,0.175797,0.236629,0.198692,0.23192,0.21668,0.275527,0.212195
415.738,0.215263,0.187181,0.168474,0.185725,0.230658,0.243263,0.227205,0.225055,0.256688,0.21068
417.365,0.254415,0.194702,0.187169,0.204636,0.242063,0.205298,0.222596,0.192715,0.212302,0.196809
418.992,0.175104,0.209415,0.178721,0.202173,0.25523,0.191913,0.197304,0.204587,0.216975,0.224044
420.619,0.230642,0.227451,0.19956,0.191597,0.221001,0.226891,0.193785,0.227451,0.233095,0.200112
422.245,0.208016,0.206422,0.153493,0.185015,0.203978,0.207441,0.215401,0.213558,0.233044,0.216452
423.872,0.222379,0.208749,0.167135,0.206847,0.195225,0.226819,0.192104,0.208274,0.237828,0.211207
425.499,0.201839,0.235528,0.200088,0.202828,0.207093,0.247017,0.215986,0.233319,0.206655,0.190391
427.126,0.209188,0.21597,0.172245,0.205213,0.213061,0.226727,0.199498,0.233347,0.236327,0.206211
428.752,0.1934,0.195728,0.200537,0.219029,0.22546,0.203107,0.215686,0.222524,0.22431,0.200311
430.379,0.225667,0.228675,0.177252,0.211252,0.214926,0.2,0.217664,0.201815,0.240761,0.199565
432.006,0.225506,0.224428,0.212261,0.206931,0.213579,0.227793,0.205372,0.222409,0.21292,0.205872
433.633,0.223443,0.211616,0.19219,0.21625,0.215985,0.215323,0.213745,0.203275,0.236425,0.191081
435.259,0.233894,0.217156,0.17667,0.213166,0.227916,0.210601,0.234848,0.211456,0.223103,0.221584
436.886,0.215729,0.232285,0.198753,0.215321,0.224783,0.206019,0.220519,0.221614,0.250542,0.233691
438.513,0.233582,0.225772,0.184168,0.215755,0.204957,0.218733,0.225151,0.229832,0.232409,0.191728
440.14,0.224292,0.227285,0.193466,0.224421,0.233538,0.247071,0.206769,0.223119,0.227922,0.230365
441.766,0.2306,0.220306,0.198148,0.23312,0.21204,0.212666,0.220854,0.223509,0.22447,0.220199
