wavelength,"(877, 2902)","(845, 3248)","(815, 3120)","(851, 3113)","(822, 3072)","(851, 3182)","(790, 3304)","(842, 3010)","(860, 3073)","(842, 2948)"
399.471,0.326241,0.325527,0.378824,0.369412,0.455189,0.327059,0.321596,0.353222,0.32304,0.372315
401.098,0.272,0.270588,0.196464,0.323353,0.424063,0.277445,0.289063,0.242545,0.21627,0.499006
402.725,0.252893,0.322951,0.216129,0.287805,0.419672,0.269919,0.280389,0.265677,0.215909,0.430693
404.351,0.194483,0.219008,0.19236,0.325967,0.413934,0.303867,0.289617,0.230663,0.257576,0.395028
405.978,0.224178,0.190476,0.19186,0.247059,0.286705,0.270588,0.234954,0.218935,0.20726,0.36213
407.605,0.20662,0.160237,0.202582,0.270896,0.301086,0.276939,0.19227,0.168337,0.168506,0.317635
409.232,0.177546,0.173801,0.132705,0.214101,0.313356,0.258813,0.164826,0.137931,0.205832,0.277586
410.858,0.137828,0.152303,0.127299,0.212211,0.262768,0.165302,0.16373,0.136228,0.157816,0.316617
412.485,0.133333,0.128571,0.115708,0.187377,0.2443,0.194609,0.200512,0.128609,0.152487,0.262467
414.112,0.120841,0.158076,0.092158,0.167439,0.246402,0.186559,0.169346,0.117647,0.130787,0.251019
415.738,0.137285,0.111509,0.104669,0.18315,0.232235,0.188383,0.162993,0.133961,0.127583,0.272109
417.365,0.145558,0.129991,0.105044,0.178893,0.254993,0.158542,0.17355,0.121513,0.148529,0.251537
418.992,0.14489,0.124041,0.0879215,0.161664,0.238602,0.160806,0.130802,0.10163,0.128161,0.220412
420.619,0.13815,0.130939,0.105449,0.158039,0.219055,0.16902,0.142913,0.124803,0.126187,0.255906
422.245,0.131004,0.128837,0.0906172,0.180631,0.225448,0.171563,0.125981,0.115958,0.121234,0.27699
423.872,0.132095,0.111846,0.102513,0.163989,0.248668,0.19411,0.143283,0.104278,0.116498,0.256684
425.499,0.126774,0.123153,0.0904585,0.166356,0.231556,0.178483,0.138949,0.113073,0.109147,0.247212
427.126,0.122968,0.134234,0.091645,0.173597,0.235345,0.177377,0.1499,0.100377,0.11483,0.255004
428.752,0.116951,0.111682,0.0959239,0.166032,0.224435,0.178552,0.135324,0.10089,0.109505,0.316428
430.379,0.130109,0.117989,0.0797452,0.167735,0.236595,0.188766,0.148352,0.0939241,0.120192,0.292152
432.006,0.124668,0.132239,0.0839442,0.175643,0.232679,0.206625,0.143688,0.105724,0.106318,0.337985
433.633,0.129327,0.142096,0.0972961,0.189849,0.264725,0.183585,0.154396,0.0966709,0.11791,0.374093
435.259,0.147136,0.134276,0.134816,0.166997,0.246656,0.202853,0.158911,0.109163,0.108751,0.327882
436.886,0.119836,0.144277,0.131245,0.171506,0.252017,0.198026,0.160721,0.123393,0.111004,0.318941
438.513,0.143544,0.140985,0.1069,0.177044,0.239834,0.221734,0.171668,0.109581,0.112998,0.33195
440.14,0.138858,0.13456,0.0837989,0.167972,0.243327,0.238477,0.175076,0.113484,0.118361,0.349683
441.766,0.124891,0.158139,0.0819955,0.168892,0.259687,0.243974,0.172848,0.10859,0.113754,0.334257
