wavelength,"(174, 3052)","(180, 3085)","(143, 3166)","(158, 3222)","(170, 3189)","(161, 3058)","(173, 3138)","(146, 3174)","(159, 3142)","(149, 3109)","(149, 3085)"
399.471,0.419786,0.367292,0.339726,0.149864,0.25876,0.331507,0.327027,0.395028,0.3297,0.282967,0.164835
401.098,0.441704,0.423423,0.310185,0.161731,0.197248,0.318807,0.24605,0.375291,0.33945,0.291572,0.177677
402.725,0.464286,0.310987,0.23327,0.142315,0.208647,0.291429,0.245779,0.298279,0.263359,0.241445,0.203422
404.351,0.376378,0.333333,0.251613,0.106181,0.194313,0.2576,0.193701,0.320388,0.33121,0.221509,0.155698
405.978,0.371011,0.287049,0.187755,0.106183,0.131081,0.225371,0.192563,0.247956,0.358799,0.219945,0.147541
407.605,0.357555,0.193402,0.243119,0.117647,0.0854503,0.230769,0.129693,0.190364,0.308772,0.20892,0.134977
409.232,0.315634,0.219921,0.166333,0.0747012,0.0918164,0.195147,0.159722,0.212982,0.239479,0.147624,0.115268
410.858,0.276975,0.201537,0.204348,0.0641804,0.0894097,0.133741,0.151877,0.204046,0.239339,0.159965,0.112762
412.485,0.275037,0.169391,0.154726,0.0795107,0.0840336,0.182788,0.121805,0.183077,0.278327,0.129403,0.117917
414.112,0.342438,0.145599,0.130081,0.0565657,0.0725424,0.173116,0.141717,0.153215,0.270933,0.106297,0.0825999
415.738,0.245833,0.169632,0.150121,0.0573325,0.0673544,0.157671,0.150089,0.137146,0.250151,0.117861,0.0771567
417.365,0.264801,0.151776,0.145294,0.0506536,0.0610811,0.158991,0.115322,0.155047,0.265463,0.12687,0.0914127
418.992,0.302063,0.147116,0.126063,0.0619425,0.0561122,0.142571,0.0998517,0.125254,0.21443,0.141266,0.0820253
420.619,0.284158,0.12009,0.12093,0.0544532,0.0523897,0.172063,0.124374,0.142187,0.213499,0.109665,0.070632
422.245,0.309583,0.134055,0.108511,0.0481978,0.0574567,0.137712,0.114548,0.137027,0.208791,0.109208,0.0702355
423.872,0.297913,0.130701,0.137371,0.0503906,0.0651144,0.128245,0.0945216,0.12929,0.208268,0.107937,0.065873
425.499,0.286688,0.122638,0.100917,0.0427007,0.0514599,0.137248,0.0860137,0.13195,0.19905,0.130499,0.0613678
427.126,0.293547,0.142426,0.116191,0.0485569,0.0544077,0.140942,0.110247,0.127778,0.190832,0.13928,0.064494
428.752,0.307934,0.135689,0.100843,0.0448287,0.0421764,0.129427,0.0968254,0.144071,0.198716,0.110074,0.0737045
430.379,0.281434,0.148083,0.100756,0.0376794,0.053028,0.139437,0.109043,0.152667,0.17941,0.123606,0.0618028
