wavelength,"(749, 897)","(745, 942)","(752, 920)","(747, 885)","(742, 903)","(750, 962)","(752, 947)","(742, 885)","(752, 869)","(743, 874)"
399.471,0.456019,0.328736,0.397701,0.323326,0.273563,0.299539,0.419355,0.211494,0.381609,0.374707
401.098,0.421875,0.352601,0.34375,0.359922,0.31384,0.306202,0.385659,0.226121,0.326172,0.312992
402.725,0.344103,0.32381,0.2928,0.364078,0.253205,0.3328,0.3472,0.240385,0.2736,0.307942
404.351,0.347709,0.350336,0.308725,0.336927,0.248991,0.271871,0.368775,0.305518,0.338255,0.324798
405.978,0.321839,0.40226,0.307868,0.318442,0.285057,0.248568,0.331042,0.249425,0.332953,0.301843
407.605,0.298918,0.359922,0.288235,0.287968,0.255132,0.272816,0.335623,0.250244,0.25098,0.3133
409.232,0.293423,0.343384,0.268007,0.264755,0.255034,0.284388,0.278481,0.239933,0.332496,0.279661
410.858,0.295022,0.308418,0.214648,0.212828,0.23161,0.21072,0.270925,0.211945,0.270486,0.279853
412.485,0.279846,0.270013,0.301027,0.26059,0.222293,0.232051,0.253205,0.209554,0.293967,0.253539
414.112,0.248578,0.274011,0.242027,0.224548,0.197517,0.203178,0.27185,0.233634,0.262528,0.269516
415.738,0.256633,0.279011,0.236603,0.243902,0.231972,0.204696,0.237366,0.191125,0.274014,0.258603
417.365,0.293413,0.296854,0.241854,0.225138,0.194722,0.211416,0.22968,0.205187,0.280863,0.225806
418.992,0.289739,0.234511,0.2425,0.219379,0.207271,0.193305,0.239749,0.193063,0.289583,0.239259
420.619,0.300694,0.260886,0.239755,0.222607,0.213272,0.169927,0.232835,0.187188,0.300268,0.263622
422.245,0.247963,0.284607,0.244617,0.199929,0.183133,0.186465,0.222066,0.210656,0.257677,0.249911
423.872,0.288487,0.267014,0.280496,0.238328,0.203456,0.190445,0.207461,0.198565,0.267776,0.257566
425.499,0.265606,0.301095,0.259814,0.212954,0.214049,0.191586,0.21247,0.203799,0.264609,0.246785
427.126,0.263893,0.284139,0.245787,0.23892,0.216864,0.184485,0.209873,0.218274,0.271629,0.266667
428.752,0.269684,0.287875,0.264915,0.235654,0.231173,0.186889,0.216759,0.196274,0.290933,0.27589
430.379,0.260357,0.284018,0.273532,0.240699,0.219633,0.194873,0.208064,0.204016,0.27771,0.262672
432.006,0.278011,0.299236,0.28519,0.229283,0.208391,0.19073,0.211819,0.215768,0.296424,0.257944
433.633,0.278986,0.298786,0.294704,0.214571,0.229808,0.204822,0.208805,0.219817,0.304465,0.286653
435.259,0.288264,0.318611,0.28182,0.235328,0.242004,0.200617,0.232029,0.217534,0.29545,0.265079
436.886,0.294084,0.326132,0.29437,0.244825,0.249437,0.196332,0.226839,0.226164,0.309471,0.308427
438.513,0.30493,0.365242,0.300184,0.251857,0.249724,0.214614,0.234309,0.233149,0.329098,0.331643
440.14,0.321486,0.352774,0.303367,0.271088,0.262546,0.214789,0.221831,0.256031,0.347083,0.292993
441.766,0.336292,0.375423,0.312511,0.258261,0.2586,0.216946,0.219295,0.272361,0.340966,0.330481
443.393,0.34232,0.367657,0.335792,0.28882,0.284645,0.242313,0.245181,0.265849,0.353752,0.330675
445.02,0.367594,0.374942,0.337439,0.305568,0.286237,0.243639,0.247448,0.281207,0.390967,0.345131
446.647,0.355711,0.388566,0.337797,0.294546,0.293025,0.238758,0.254724,0.293464,0.393247,0.343134
448.273,0.371116,0.393546,0.356079,0.311631,0.296994,0.250737,0.252142,0.299382,0.377942,0.353622
449.9,0.368069,0.430914,0.351435,0.31413,0.302651,0.266505,0.260442,0.29821,0.392196,0.351874
451.527,0.374263,0.410901,0.360471,0.323766,0.320767,0.259053,0.270604,0.320896,0.388946,0.39004
453.153,0.403392,0.421469,0.383545,0.332453,0.310341,0.264405,0.263657,0.294059,0.409147,0.383702
454.78,0.411318,0.444524,0.386034,0.339122,0.338502,0.275404,0.285937,0.307968,0.429574,0.415266
456.407,0.429678,0.432519,0.399679,0.347317,0.33901,0.297276,0.282101,0.347066,0.430159,0.406138
458.034,0.425885,0.470336,0.392885,0.344858,0.336109,0.29383,0.30071,0.34366,0.424925,0.399375
459.66,0.430018,0.451123,0.406407,0.346419,0.349872,0.272883,0.280591,0.360351,0.438014,0.405987
461.287,0.436297,0.467697,0.405442,0.354422,0.354132,0.298037,0.305579,0.371074,0.442582,0.415757
462.914,0.448238,0.458731,0.425523,0.36687,0.38606,0.308444,0.32589,0.362892,0.452469,0.428054
464.541,0.434538,0.462534,0.436097,0.366702,0.38506,0.310839,0.326434,0.367443,0.448091,0.431411
466.167,0.436794,0.473261,0.414088,0.376004,0.395652,0.324901,0.317053,0.374931,0.440536,0.414928
467.794,0.451134,0.484199,0.431194,0.3851,0.379526,0.318579,0.335445,0.372284,0.437701,0.46541
469.421,0.456963,0.480079,0.434322,0.379145,0.396282,0.329635,0.337349,0.40245,0.468072,0.456617
471.048,0.457744,0.497815,0.4453,0.387932,0.4024,0.327538,0.332349,0.392682,0.47246,0.464708
472.674,0.45905,0.490204,0.45453,0.401029,0.404621,0.333278,0.350281,0.392123,0.486495,0.456318
474.301,0.463102,0.479276,0.442932,0.407344,0.413404,0.349344,0.349747,0.396829,0.493072,0.456835
475.928,0.478858,0.497792,0.453343,0.410889,0.406954,0.345213,0.361,0.412099,0.48066,0.46149
477.555,0.491567,0.492312,0.449498,0.417018,0.405049,0.356774,0.347747,0.408915,0.47541,0.457494
479.181,0.481635,0.486486,0.462494,0.421435,0.420887,0.352357,0.347503,0.408519,0.496951,0.468801
480.808,0.481778,0.49911,0.478779,0.416402,0.426201,0.346965,0.348466,0.396369,0.487624,0.483655
482.435,0.475412,0.489285,0.472197,0.435591,0.411769,0.352082,0.375398,0.420225,0.488442,0.483184
484.062,0.496993,0.508448,0.449822,0.425853,0.420391,0.356505,0.374019,0.426171,0.489039,0.473281
485.688,0.48137,0.500551,0.460357,0.430565,0.427784,0.374228,0.384695,0.431742,0.514165,0.477103
487.315,0.481769,0.497742,0.486507,0.420749,0.435632,0.367694,0.398462,0.421816,0.498682,0.481517
488.942,0.497667,0.503697,0.478944,0.44012,0.448767,0.379028,0.379578,0.438102,0.500607,0.477366
490.569,0.511647,0.51488,0.480652,0.44581,0.42795,0.379207,0.411147,0.418665,0.513232,0.503368
492.195,0.498078,0.508327,0.503617,0.443831,0.433391,0.380601,0.407474,0.450577,0.504133,0.48665
493.822,0.501792,0.506297,0.499635,0.456313,0.434562,0.392219,0.415393,0.44647,0.502671,0.48623
495.449,0.501035,0.519353,0.50875,0.465183,0.45452,0.399235,0.398403,0.454409,0.523812,0.487328
497.075,0.49573,0.523822,0.497243,0.458075,0.450477,0.393636,0.408376,0.44885,0.514486,0.513416
498.702,0.526681,0.518625,0.495506,0.454472,0.445093,0.413556,0.415739,0.4409,0.525645,0.505505
500.329,0.520598,0.522423,0.498268,0.486462,0.457233,0.417868,0.420729,0.458377,0.526346,0.522078
501.956,0.530828,0.515382,0.501134,0.479557,0.451283,0.402776,0.415544,0.450829,0.519536,0.51603
503.582,0.525101,0.530771,0.510855,0.481334,0.462534,0.413242,0.436582,0.467306,0.528733,0.516774
505.209,0.524827,0.534066,0.522667,0.486737,0.482624,0.421225,0.431993,0.466911,0.542426,0.531831
506.836,0.531139,0.550677,0.51789,0.482869,0.479761,0.417568,0.440585,0.476585,0.539349,0.520948
508.463,0.534852,0.542112,0.527668,0.48153,0.479655,0.424078,0.439991,0.472702,0.554151,0.525031
510.089,0.540275,0.545202,0.521246,0.487177,0.48159,0.429891,0.444873,0.471619,0.552271,0.538394
511.716,0.541062,0.536079,0.521875,0.500455,0.480566,0.435363,0.459089,0.472029,0.543393,0.550698
513.343,0.551404,0.557311,0.540227,0.492303,0.485104,0.438713,0.451685,0.480994,0.554844,0.541063
514.97,0.566868,0.551284,0.544665,0.512651,0.496801,0.437673,0.453266,0.486168,0.561209,0.558448
516.596,0.556539,0.539279,0.540937,0.507153,0.481762,0.450788,0.465031,0.487256,0.556796,0.550378
518.223,0.567391,0.573742,0.54473,0.510287,0.493967,0.446365,0.471402,0.486353,0.579601,0.562681
519.85,0.557911,0.562184,0.55211,0.513514,0.497194,0.454036,0.467414,0.506616,0.578747,0.568042
521.477,0.563269,0.567064,0.557221,0.526599,0.511154,0.460951,0.478082,0.491226,0.587444,0.565449
523.103,0.56971,0.561551,0.560827,0.526593,0.511156,0.468917,0.489573,0.496084,0.588468,0.563839
524.73,0.572478,0.581913,0.559611,0.52622,0.515337,0.474894,0.477893,0.500155,0.576748,0.562233
526.357,0.58553,0.574624,0.565508,0.54034,0.522204,0.481071,0.490716,0.503612,0.580488,0.572839
527.984,0.569943,0.563434,0.555407,0.538584,0.515432,0.486269,0.49009,0.509797,0.582076,0.55425
529.61,0.571655,0.583342,0.579781,0.52654,0.534634,0.479416,0.510824,0.528992,0.595471,0.574097
531.237,0.589183,0.580113,0.592695,0.535218,0.514583,0.491766,0.498317,0.510142,0.597674,0.572074
532.864,0.591212,0.581896,0.569714,0.553269,0.528713,0.48753,0.503818,0.527598,0.603955,0.579957
534.491,0.589326,0.580681,0.588149,0.536166,0.536958,0.490075,0.503881,0.536068,0.604937,0.592801
536.117,0.591257,0.591232,0.590625,0.555601,0.541997,0.498428,0.50793,0.536092,0.612034,0.589389
537.744,0.588568,0.582687,0.591336,0.561436,0.543058,0.497538,0.522221,0.522984,0.617361,0.575735
539.371,0.611242,0.586598,0.59076,0.553886,0.533741,0.502534,0.523327,0.536801,0.615786,0.605355
540.997,0.592632,0.589449,0.571148,0.556811,0.540591,0.498905,0.511263,0.527497,0.600062,0.589377
542.624,0.601224,0.587324,0.595048,0.558247,0.531324,0.498531,0.517799,0.533582,0.608241,0.57353
544.251,0.604142,0.593565,0.599544,0.552903,0.541355,0.494623,0.515447,0.52431,0.612337,0.595705
545.878,0.615557,0.601069,0.602822,0.562201,0.552127,0.507535,0.529534,0.538819,0.622273,0.600794
547.504,0.601287,0.607926,0.607674,0.569611,0.542537,0.518568,0.536661,0.538061,0.61039,0.590468
549.131,0.621454,0.608049,0.607285,0.582543,0.574667,0.526444,0.532776,0.544981,0.637064,0.615054
550.758,0.625447,0.612251,0.605958,0.575075,0.553542,0.53091,0.550784,0.542651,0.649375,0.612728
552.385,0.625421,0.621234,0.619604,0.569238,0.573492,0.522156,0.534107,0.554211,0.647824,0.626403
554.011,0.641776,0.616508,0.631655,0.585637,0.575708,0.536586,0.547325,0.555276,0.653902,0.614613
555.638,0.638998,0.630243,0.6295,0.586605,0.567522,0.526768,0.551597,0.56585,0.647573,0.631191
557.265,0.631928,0.626317,0.636567,0.610598,0.583467,0.543843,0.556657,0.564549,0.655428,0.634761
558.892,0.644895,0.635336,0.63964,0.597054,0.592551,0.541686,0.564385,0.574182,0.657649,0.631566
560.518,0.645882,0.631415,0.638079,0.599742,0.581122,0.551072,0.560045,0.579143,0.662818,0.637882
562.145,0.651943,0.637978,0.636745,0.606753,0.595675,0.550808,0.57475,0.581415,0.661585,0.648968
563.772,0.643684,0.65075,0.647436,0.593219,0.586212,0.562522,0.572995,0.578662,0.663415,0.643213
565.399,0.650751,0.640014,0.651568,0.60691,0.58667,0.549612,0.575549,0.586377,0.663931,0.637262
567.025,0.65044,0.646935,0.648722,0.607887,0.597733,0.560589,0.57867,0.580376,0.660868,0.65461
568.652,0.664115,0.664403,0.653445,0.621858,0.607257,0.569448,0.578875,0.593239,0.67779,0.649409
570.279,0.669423,0.649313,0.646461,0.619178,0.608142,0.563944,0.584351,0.595043,0.669773,0.660437
571.906,0.670993,0.660671,0.649854,0.623641,0.608014,0.562006,0.589732,0.594172,0.666977,0.659371
573.532,0.665767,0.653212,0.656339,0.632542,0.598108,0.556198,0.581212,0.592773,0.671138,0.650621
575.159,0.669524,0.664234,0.661222,0.625374,0.600712,0.580248,0.595275,0.595064,0.672669,0.662046
576.786,0.665826,0.658776,0.661885,0.629869,0.608623,0.570614,0.591572,0.613661,0.680804,0.662378
578.412,0.673056,0.657375,0.660473,0.626327,0.60457,0.568841,0.59141,0.603441,0.670448,0.666281
580.039,0.683241,0.666276,0.666651,0.627608,0.612714,0.581699,0.608498,0.602079,0.674838,0.671952
581.666,0.668055,0.667578,0.669631,0.622377,0.620609,0.58127,0.595678,0.609482,0.668593,0.658698
583.293,0.677235,0.670796,0.660831,0.636128,0.609517,0.579197,0.608594,0.600046,0.67608,0.677035
584.919,0.666877,0.679458,0.662363,0.633222,0.609798,0.569127,0.598728,0.605382,0.6695,0.681027
586.546,0.676636,0.663869,0.666147,0.643159,0.62388,0.585302,0.599165,0.607108,0.671099,0.682124
588.173,0.68759,0.682922,0.675758,0.650076,0.623388,0.580959,0.603671,0.608123,0.676009,0.678743
589.8,0.684698,0.675834,0.674533,0.641457,0.614986,0.587245,0.61628,0.608893,0.666491,0.689166
591.426,0.690462,0.676032,0.675029,0.645697,0.63041,0.589574,0.611066,0.617086,0.683591,0.684307
593.053,0.684702,0.682208,0.687524,0.655212,0.629291,0.595284,0.613636,0.621943,0.698501,0.688823
594.68,0.689253,0.688226,0.687961,0.66212,0.64095,0.595256,0.627288,0.619615,0.690274,0.690774
596.307,0.706827,0.684865,0.683366,0.658035,0.636116,0.595795,0.627803,0.63158,0.698552,0.693183
597.933,0.718916,0.692506,0.688642,0.661339,0.647632,0.606389,0.628064,0.620579,0.699056,0.711861
599.56,0.709909,0.706352,0.700826,0.661054,0.643379,0.607068,0.620203,0.629798,0.694713,0.702987
601.187,0.720136,0.700197,0.709737,0.658358,0.646065,0.606429,0.630957,0.625531,0.709715,0.712149
602.814,0.718681,0.698681,0.698722,0.664637,0.629969,0.60189,0.625099,0.643653,0.707839,0.706005
604.44,0.723805,0.708165,0.708338,0.670397,0.633069,0.604269,0.633605,0.63599,0.721446,0.706784
606.067,0.727549,0.71399,0.705684,0.668909,0.649797,0.606228,0.638158,0.631884,0.713493,0.702726
607.694,0.713306,0.707295,0.714074,0.686561,0.649273,0.614615,0.626925,0.640568,0.721174,0.712153
609.321,0.717297,0.709164,0.692633,0.666839,0.64073,0.602149,0.628079,0.637146,0.718082,0.71683
610.947,0.727438,0.705004,0.705848,0.674712,0.64258,0.608844,0.628848,0.634152,0.706852,0.712168
612.574,0.717993,0.708749,0.705648,0.676121,0.647209,0.6147,0.630351,0.634457,0.704934,0.713237
614.201,0.73428,0.719715,0.707619,0.6843,0.643557,0.620991,0.645439,0.63591,0.712596,0.732238
615.828,0.742324,0.725276,0.717546,0.695031,0.642034,0.621282,0.639973,0.643287,0.722623,0.726716
617.454,0.748714,0.73317,0.72219,0.688793,0.648449,0.625649,0.643461,0.631172,0.723668,0.729527
619.081,0.739975,0.731684,0.716564,0.681809,0.667974,0.624588,0.640829,0.647291,0.731569,0.729388
620.708,0.74908,0.739561,0.71619,0.691716,0.658114,0.626732,0.649391,0.648793,0.731508,0.726466
622.334,0.752881,0.735229,0.730776,0.691285,0.669519,0.630067,0.648247,0.650759,0.732876,0.742171
623.961,0.739045,0.734966,0.729386,0.695419,0.666802,0.62488,0.651633,0.657113,0.734057,0.744496
625.588,0.754908,0.743263,0.733208,0.708672,0.66723,0.638682,0.653875,0.655083,0.740209,0.746568
627.215,0.75628,0.735446,0.737177,0.712962,0.67275,0.634784,0.639959,0.662363,0.732857,0.746464
628.841,0.752209,0.746841,0.73005,0.705333,0.67172,0.631805,0.646575,0.662987,0.744844,0.752442
630.468,0.748553,0.736388,0.730473,0.705639,0.674678,0.636721,0.657955,0.65629,0.742297,0.746501
632.095,0.762006,0.748958,0.739732,0.7189,0.680564,0.634387,0.663364,0.658997,0.737755,0.759537
633.722,0.774939,0.750811,0.738343,0.721141,0.686567,0.640652,0.662684,0.669746,0.750201,0.746888
635.348,0.762994,0.762585,0.74013,0.704599,0.681996,0.638191,0.649711,0.674634,0.754295,0.754345
636.975,0.760126,0.761892,0.748447,0.707678,0.689332,0.644846,0.666653,0.675311,0.755542,0.762415
638.602,0.7785,0.756878,0.741351,0.723555,0.679625,0.63732,0.66195,0.670155,0.744519,0.760647
640.229,0.777081,0.754915,0.742589,0.72854,0.681651,0.650104,0.661798,0.658177,0.748335,0.760738
641.855,0.779416,0.759412,0.751078,0.723895,0.674053,0.643903,0.664166,0.673051,0.754524,0.765609
643.482,0.788146,0.765393,0.771167,0.723682,0.692,0.650627,0.669548,0.681686,0.747983,0.755613
645.109,0.772819,0.770736,0.74367,0.730945,0.685851,0.650891,0.661274,0.673638,0.763247,0.766155
646.736,0.780988,0.768689,0.747703,0.727879,0.685922,0.642301,0.665294,0.680846,0.770655,0.78283
648.362,0.77482,0.769293,0.760283,0.731671,0.693779,0.649714,0.65796,0.675402,0.763498,0.769743
649.989,0.78004,0.77076,0.75612,0.733402,0.696867,0.644368,0.66894,0.685841,0.757116,0.76771
651.616,0.783294,0.779286,0.761826,0.736904,0.704182,0.647453,0.664135,0.679138,0.761561,0.773693
653.243,0.797296,0.780409,0.761605,0.736796,0.689502,0.673568,0.671343,0.68305,0.771721,0.781276
654.869,0.808859,0.784098,0.770155,0.739301,0.702205,0.664405,0.680114,0.700727,0.773823,0.780857
656.496,0.812318,0.79144,0.759848,0.748691,0.693362,0.660894,0.685784,0.692415,0.771153,0.781175
658.123,0.79721,0.784411,0.773853,0.747929,0.699749,0.6707,0.684909,0.679409,0.781071,0.786548
659.75,0.801578,0.792329,0.766404,0.738973,0.697462,0.665378,0.683232,0.708714,0.780614,0.779556
661.376,0.801955,0.786788,0.778388,0.754648,0.698677,0.666258,0.68106,0.688136,0.786546,0.794212
663.003,0.796858,0.792906,0.777202,0.746521,0.714531,0.666802,0.683427,0.701591,0.77961,0.791961
664.63,0.796329,0.793597,0.769154,0.758825,0.713374,0.665422,0.685835,0.696959,0.777656,0.801216
666.256,0.812251,0.805485,0.786102,0.751531,0.711355,0.677868,0.688756,0.700978,0.781093,0.799585
667.883,0.812114,0.799132,0.78499,0.749161,0.708455,0.684431,0.692714,0.708553,0.78151,0.791204
669.51,0.822234,0.809928,0.783457,0.760273,0.7144,0.687087,0.692305,0.710123,0.79043,0.805748
671.137,0.822993,0.797673,0.789506,0.754259,0.721449,0.688019,0.70396,0.705206,0.784174,0.800933
672.763,0.829636,0.803224,0.78195,0.758497,0.715513,0.67263,0.688758,0.709643,0.792499,0.809837
674.39,0.825653,0.812099,0.78747,0.765178,0.707761,0.68153,0.697148,0.71454,0.801907,0.816022
676.017,0.819193,0.816771,0.787504,0.764825,0.726655,0.682845,0.698582,0.718939,0.801889,0.81171
677.644,0.833037,0.809217,0.785335,0.760343,0.72073,0.695121,0.701419,0.71572,0.79824,0.810844
679.27,0.824101,0.821696,0.795311,0.766563,0.723102,0.696499,0.713713,0.71405,0.793497,0.823643
680.897,0.835692,0.815947,0.79558,0.774858,0.730109,0.696915,0.71247,0.718817,0.818102,0.826772
682.524,0.826838,0.833414,0.800277,0.76927,0.72428,0.689539,0.704552,0.720592,0.803667,0.817716
684.151,0.842038,0.831392,0.792544,0.770275,0.730635,0.69853,0.722356,0.725343,0.79746,0.82604
685.777,0.847429,0.828728,0.812485,0.763166,0.737373,0.700072,0.710884,0.724992,0.805698,0.826572
687.404,0.835615,0.83878,0.795868,0.771077,0.735833,0.696088,0.703354,0.728955,0.805388,0.829012
689.031,0.844512,0.840939,0.809495,0.761156,0.737717,0.699394,0.722682,0.725735,0.81887,0.830188
690.658,0.849176,0.852662,0.807946,0.780036,0.744715,0.709164,0.718349,0.733565,0.807281,0.84679
692.284,0.838224,0.84905,0.806974,0.776696,0.735591,0.705935,0.713401,0.727951,0.823538,0.846557
693.911,0.845208,0.841335,0.816385,0.782111,0.735688,0.707005,0.729458,0.732033,0.830709,0.842594
695.538,0.846198,0.839237,0.812691,0.784155,0.744199,0.706947,0.72743,0.743513,0.825341,0.846266
697.165,0.854468,0.860933,0.811564,0.781043,0.742821,0.700185,0.723886,0.743105,0.824634,0.831509
698.791,0.84444,0.863304,0.818245,0.787366,0.746795,0.712273,0.726441,0.742992,0.820608,0.848963
700.418,0.855235,0.857732,0.813735,0.790178,0.747311,0.713064,0.733729,0.745563,0.81161,0.849932
