[Header]
TITLE,1-26-2018-MK167-Ba2CaWO6-o2-ldfz-hc-.dat
BYAPP,HeatCapacity,3.9.6,1.7
INFO,14.2,MASS:Sample Mass (mg)
INFO,.2,MASSERR:Sample Mass Error (mg)
INFO,594.57,MOLWGHT:Formula Weight (g/mole)
INFO,10,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/mole-K),Samp HC Err (J/mole-K),Addenda HC (uJ/K),Addenda HC Err (uJ/K),Total HC (uJ/K),Total HC Err (uJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/mole-K/K),Addenda Offset HC (uJ/K)
33754794.47,CALFILE: C:\QdPpms\HEATCA~1\TempCal\Standard\Puck1074.cal|Addenda #6 measured on 1/26/2018 from 1.9949 to 300.34 K
33754794.84,,5905,2.00061,1.9986,0.127,9.3E-6,2.0008239,0.038349955,0.0038811068,6.81E-5,0.19017915,0.0006144,0.28287087,0.0007505,13.022388,0.16395623,,,342.32432,2.795,1,,,,1.7252828E-6,0.50624635,4.0032961,0.0019397544,0
33754813.11,,5905,2.00077,1.9986,0.127,9.4E-6,2.0005963,0.037841725,0.0038895071,6.052E-5,0.19015011,0.0006142,0.28304245,0,4.9818576,0.16418455,,,342.03879,2.36,1,,,,1.7239287E-6,0.4918687,4.0023855,0.0019441739,0
33754830.81,,5905,2.00051,1.9987,0.127,9.3E-6,2.0002811,0.037874591,0.0038660042,6.679E-5,0.19007936,0.0006137,0.28241039,0.0006903,11.51469,0.16396133,,,342.67652,2.746,1,,,,1.7224207E-6,0.49255365,4.0011246,0.0019327304,0
33755116.33,Error: Warning:  Measured time constant less than time constant calculated from addenda table.  Changing time constant to addenda table value
33755157.28,,5905,4.21724,4.2521,0.127,9.4E-6,4.2030369,0.075199498,0.027922644,0.0004628,1.4168109,0.002617,2.083682,0.005206,5.0905024,0.49736442,,,372.49896,2.831,1,,,,4.1894472E-6,1.4420775,17.665519,0.0066434448,0
33755178.19,,5905,4.21806,4.253,0.127,9.4E-6,4.2021643,0.076441745,0.028195372,0.0004615,1.415885,0.002616,2.0892696,0.00497,1.3612753,0.50118335,,,371.21695,2.772,1,,,,4.1686731E-6,1.4920932,17.658185,0.0067097262,0
33755198.98,,5905,4.21872,4.2569,0.127,9.3E-6,4.2034806,0.07709662,0.029538115,0.0004858,1.417367,0.002617,2.1228201,0.005387,4.4958788,0.52104117,,,365.61908,2.749,1,,,,4.0741888E-6,1.50355,17.669249,0.0070270612,0
33755480.78,Error: Warning:  Measured time constant less than time constant calculated from addenda table.  Changing time constant to addenda table value
33755528.94,,5905,6.43761,6.4941,0.127,9.4E-6,6.4026067,0.11596634,0.10444587,0.001582,4.472089,0.006326,6.9665494,0.01241,2.703407,0.98736443,,,365.54477,2.399,1,,,,7.0557022E-6,2.9629283,40.993373,0.016313022,0
33755552.69,,5905,6.43825,6.4911,0.127,9.3E-6,6.4034314,0.11634128,0.10330951,0.001585,4.4736313,0.006329,6.9409522,0.01362,4.6426685,0.98629287,,,366.92742,2.469,1,,,,7.037415E-6,2.9620933,41.003933,0.016133461,0
33755577.02,,5905,6.4405,6.4961,0.127,9.4E-6,6.403553,0.11594679,0.10452907,0.001592,4.4738193,0.006329,6.9702668,0.01299,5.0943237,0.98711581,,,365.50177,2.423,1,,,,7.0612452E-6,2.9588786,41.005491,0.016323605,0
33755907.83,,5905,8.65982,8.7254,0.127,9.4E-6,8.608805,0.16053199,0.28142583,0.004023,9.6277911,0.01195,16.34903,0.01645,11.511644,1.592993,0.0080299882,97.946075,353.21212,1.952,1,,,,1.0299649E-5,4.8855454,74.111524,0.032690464,0
33755935.72,,5905,8.66218,8.7265,0.127,9.3E-6,8.6091554,0.15619675,0.28842771,0.00434,9.6333332,0.01195,16.521796,0.03447,0.76039403,1.613757,,,350.34474,2.266,1,,,,1.0238094E-5,4.7789789,74.117557,0.03350244,0
33755962.73,,5905,8.66488,8.7304,0.127,9.4E-6,8.6133852,0.15865764,0.27848143,0.003999,9.6392668,0.01196,16.290185,0.01856,1.9212789,1.5598112,0.0069385625,98.180963,354.64117,2.001,1,,,,1.0476088E-5,4.841271,74.190404,0.032331241,0
33756532.64,,5905,10.9008,10.9396,0.127,9.4E-6,10.817758,0.20047193,0.70609223,0.01007,17.031423,0.02336,33.894886,0.03827,11.529927,2.4893534,0.014829661,97.645131,326.63616,1.786,1,,,,1.3697711E-5,7.4602958,117.02388,0.065271588,0
33756568.61,,5905,10.9015,10.9388,0.127,9.4E-6,10.817228,0.20021816,0.70667944,0.01008,17.029655,0.02336,33.907143,0.03804,16.582639,2.4939216,0.015855827,97.488746,326.52967,1.784,1,,,,1.3683244E-5,7.4680601,117.01242,0.06532907,0
33756604.11,,5905,10.9012,10.9374,0.127,9.3E-6,10.817551,0.2003036,0.70415423,0.01005,17.030229,0.02336,33.847408,0.03836,20.707299,2.4792428,0.014592354,97.673077,326.92929,1.789,1,,,,1.3733086E-5,7.4817647,117.01941,0.065093684,0
33756961.95,,5905,13.1196,13.1535,0.127,9.4E-6,13.013859,0.24455272,1.5264441,0.02172,26.656812,0.0364,63.112581,0.0733,5.0346791,3.7460534,0.021429289,97.673073,303.89703,1.636,1,,,,1.6982451E-5,11.213762,169.36052,0.11729374,0
33757006.78,,5905,13.122,13.1518,0.127,9.4E-6,13.015247,0.24437192,1.529549,0.02175,26.663669,0.03641,63.193591,0.07149,2.6238421,3.7465298,0.021776914,97.635204,303.72366,1.63,1,,,,1.7004553E-5,11.23816,169.39666,0.11751978,0
33757051.75,,5905,13.1236,13.1513,0.127,9.4E-6,13.016159,0.24495125,1.5211992,0.02167,26.667837,0.03641,62.998343,0.07708,5.972025,3.7345315,0.021218718,97.690195,304.29968,1.649,1,,,,1.7002554E-5,11.23959,169.42039,0.11687005,0
33757433.44,,5905,15.3434,15.3816,0.127,9.4E-6,15.220316,0.28947121,2.8615351,0.0407,38.641731,0.05229,106.98322,0.1361,6.2717532,5.3300092,0.030258227,97.550143,288.24775,1.55,1,,,,2.0278752E-5,16.127367,231.65801,0.18800761,0
33757494.69,,5905,15.3445,15.3833,0.127,9.4E-6,15.220606,0.2882413,2.8642472,0.04072,38.642962,0.05229,107.04922,0.1326,23.347022,5.3360284,0.029447815,97.617543,288.16222,1.545,1,,,,2.0262647E-5,15.990028,231.66683,0.18818221,0
33757556.03,,5905,15.3469,15.382,0.127,9.4E-6,15.221365,0.28813287,2.8569474,0.04062,38.646548,0.0523,106.87847,0.1326,25.551474,5.3093071,0.029067769,97.638195,288.42188,1.547,1,,,,2.0329961E-5,16.008085,231.68996,0.18769324,0
33757895.95,,5905,17.5692,17.5966,0.127,9.4E-6,17.40803,0.28280478,4.7177786,0.06687,52.92741,0.07352,165.6012,0.1789,18.365721,7.218702,0.045037914,97.136002,279.03941,1.465,1,,,,2.3255695E-5,15.927921,303.03952,0.27101162,0
33757970.86,,5905,17.5718,17.5964,0.127,9.3E-6,17.433341,0.33339526,4.7481842,0.06747,53.055087,0.07371,166.45505,0.2138,2.3619286,7.1839574,0.037510457,97.59895,278.84646,1.492,1,,,,2.3436346E-5,21.656106,303.92138,0.27236226,0
