'y-axis saved as y
'x,NN_StartingMaterials_Ba(NO3)2.raw
5,37
5.0185858,31
5.0371716,39
5.0557574,34
5.0743432,28
5.092929,42
5.1115148,30
5.1301006,31
5.1486864,33
5.1672722,39
5.185858,34
5.2044438,26
5.2230296,27
5.2416154,48
5.2602012,33
5.278787,32
5.2973728,44
5.3159586,24
5.3345444,22
5.3531302,43
5.371716,35
5.3903018,36
5.4088876,28
5.4274734,37
5.4460592,35
5.464645,43
5.4832308,26
5.5018166,30
5.5204024,34
5.5389882,39
5.557574,37
5.5761598,28
5.5947456,32
5.6133314,33
5.6319172,33
5.650503,37
5.6690888,41
5.6876746,33
5.7062604,35
5.7248462,23
5.743432,41
5.7620178,26
5.7806036,45
5.7991894,31
5.8177752,29
5.836361,31
5.8549468,42
5.8735326,23
5.8921184,24
5.9107042,44
5.92929,21
5.9478758,27
5.9664616,26
5.9850474,31
6.0036332,34
6.022219,36
6.0408048,32
6.0593906,31
6.0779764,26
6.0965622,28
6.115148,34
6.1337338,33
6.1523196,21
6.1709054,37
6.1894912,23
6.208077,30
6.2266628,28
6.2452486,37
6.2638344,25
6.2824202,24
6.301006,32
6.3195918,29
6.3381776,34
6.3567634,32
6.3753492,20
6.393935,23
6.4125208,34
6.4311066,30
6.4496924,28
6.4682782,35
6.486864,33
6.5054498,29
6.5240356,23
6.5426214,19
6.5612072,29
6.579793,40
6.5983788,26
6.6169646,33
6.6355504,30
6.6541362,32
6.672722,26
6.6913078,30
6.7098936,31
6.7284794,24
6.7470652,30
6.765651,39
6.7842368,27
6.8028226,31
6.8214084,28
6.8399942,30
6.85858,23
6.8771658,27
6.8957516,24
6.9143374,33
6.9329232,30
6.951509,30
6.9700948,24
6.9886806,35
7.0072664,32
7.0258522,26
7.044438,24
7.0630238,22
7.0816096,28
7.1001954,29
7.1187812,31
7.137367,33
7.1559528,21
7.1745386,23
7.1931244,21
7.2117102,25
7.230296,24
7.2488818,24
7.2674676,24
7.2860534,29
7.3046392,23
7.323225,26
7.3418108,19
7.3603966,24
7.3789824,25
7.3975682,37
7.416154,21
7.4347398,29
7.4533256,25
7.4719114,29
7.4904972,25
7.509083,27
7.5276688,26
7.5462546,12
7.5648404,27
7.5834262,25
7.602012,19
7.6205978,24
7.6391836,25
7.6577694,30
7.6763552,37
7.694941,24
7.7135268,31
7.7321126,27
7.7506984,26
7.7692842,21
7.78787,28
7.8064558,25
7.8250416,33
7.8436274,27
7.8622132,16
7.880799,14
7.8993848,20
7.9179706,17
7.9365564,20
7.9551422,26
7.973728,22
7.9923138,22
8.0108996,19
8.0294854,23
8.0480712,28
8.066657,24
8.0852428,28
8.1038286,27
8.1224144,20
8.1410002,31
8.159586,29
8.1781718,27
8.1967576,20
8.2153434,18
8.2339292,26
8.252515,29
8.2711008,31
8.2896866,19
8.3082724,27
8.3268582,25
8.345444,30
8.3640298,20
8.3826156,17
8.4012014,27
8.4197872,25
8.438373,32
8.4569588,30
8.4755446,26
8.4941304,21
8.5127162,23
8.531302,30
8.5498878,23
8.5684736,29
8.5870594,27
8.6056452,33
8.624231,19
8.6428168,16
8.6614026,26
8.6799884,24
8.6985742,27
8.71716,19
8.7357458,19
8.7543316,21
8.7729174,18
8.7915032,29
8.810089,26
8.8286748,22
8.8472606,26
8.8658464,22
8.8844322,18
8.903018,11
8.9216038,18
8.9401896,22
8.9587754,12
8.9773612,22
8.995947,23
9.0145328,20
9.0331186,25
9.0517044,20
9.0702902,21
9.088876,19
9.1074618,22
9.1260476,22
9.1446334,15
9.1632192,19
9.181805,20
9.2003908,25
9.2189766,33
9.2375624,19
9.2561482,23
9.274734,20
9.2933198,14
9.3119056,19
9.3304914,23
9.3490772,24
9.367663,22
9.3862488,25
9.4048346,28
9.4234204,19
9.4420062,33
9.460592,23
9.4791778,18
9.4977636,19
9.5163494,16
9.5349352,24
9.553521,24
9.5721068,26
9.5906926,22
9.6092784,15
9.6278642,16
9.64645,16
9.6650358,24
9.6836216,19
9.7022074,22
9.7207932,22
9.739379,21
9.7579648,28
9.7765506,27
9.7951364,16
9.8137222,25
9.832308,16
9.8508938,15
9.8694796,23
9.8880654,23
9.9066512,23
9.925237,25
9.9438228,19
9.9624086,22
9.9809944,25
9.9995802,26
10.018166,22
10.0367518,24
10.0553376,17
10.0739234,29
10.0925092,14
10.111095,21
10.1296808,17
10.1482666,10
10.1668524,27
10.1854382,24
10.204024,19
10.2226098,17
10.2411956,24
10.2597814,18
10.2783672,16
10.296953,16
10.3155388,13
10.3341246,10
10.3527104,29
10.3712962,23
10.389882,22
10.4084678,20
10.4270536,12
10.4456394,28
10.4642252,19
10.482811,17
10.5013968,20
10.5199826,18
10.5385684,21
10.5571542,15
10.57574,17
10.5943258,25
10.6129116,23
10.6314974,18
10.6500832,26
10.668669,25
10.6872548,22
10.7058406,19
10.7244264,20
10.7430122,17
10.761598,14
10.7801838,14
10.7987696,14
10.8173554,18
10.8359412,22
10.854527,16
10.8731128,21
10.8916986,16
10.9102844,18
10.9288702,25
10.947456,18
10.9660418,17
10.9846276,17
11.0032134,20
11.0217992,23
