'y-axis saved as y
'x,ML_Wallace_17122019_1_NN_1_ZrP_Crucible_12x16_14x161of2Crucibles_BlackPowder_5-60_4min_BkgSubtracted.raw
5,-23.0651245
5.0185858,-18.5301514
5.0371716,-32.9942322
5.0557574,-7.71139526
5.0743432,13.5724182
5.092929,-25.1428223
5.1115148,11.1429138
5.1301006,-15.5703735
5.1486864,13.7173157
5.1672722,-34.9940491
5.185858,-13.1442871
5.2044438,0.706451416
5.2230296,4.5581665
5.2416154,-22.5891724
5.2602012,45.2644653
5.278787,0.119049072
5.2973728,35.9746399
5.3159586,29.8311768
5.3345444,30.6886597
5.3531302,-13.4528503
5.371716,26.4065857
5.3903018,25.2669678
5.4088876,9.12835693
5.4274734,-9.00930786
5.4460592,20.8540039
5.464645,9.71826172
5.4832308,-19.4164734
5.5018166,-15.9309692
5.5204024,12.555481
5.5389882,19.0429382
5.557574,5.53134155
5.5761598,63.0206909
5.5947456,-6.48895264
5.6133314,3.00234985
5.6319172,34.4945984
5.650503,51.987854
5.6690888,21.4820557
5.6876746,34.9772339
5.7062604,12.4733582
5.7248462,30.970459
5.743432,-2.53146362
5.7620178,5.96759033
5.7806036,2.46759033
5.7991894,30.9685669
5.8177752,14.47052
5.836361,43.9734192
5.8549468,29.4772949
5.8735326,-0.0178527832
5.8921184,7.48794556
5.9107042,-0.00527954102
5.92929,-0.497528076
5.9478758,-18.9888
5.9664616,7.52087402
5.9850474,2.03152466
6.0036332,17.5431213
6.022219,2.05569458
6.0408048,8.56924438
6.0593906,55.0837708
6.0779764,42.5992432
6.0965622,7.11569214
6.115148,13.6331177
6.1337338,3.15151978
6.1523196,12.6708679
6.1709054,15.1911621
6.1894912,37.7124634
6.208077,49.2347107
6.2266628,-4.24206543
6.2452486,8.28210449
6.2638344,0.807281494
6.2824202,12.3334045
6.301006,5.86047363
6.3195918,14.3885498
6.3381776,-6.08242798
6.3567634,-5.55245972
6.3753492,-18.0214844
6.393935,24.510437
6.4125208,38.043335
6.4311066,-1.42282104
6.4496924,-31.8880005
6.4682782,9.64779663
6.486864,5.18457031
6.5054498,14.72229
6.5240356,16.2609711
6.5426214,39.8006439
6.5612072,27.3412628
6.579793,14.8828583
6.5983788,9.4254303
6.6169646,30.9689484
6.6355504,22.5134583
6.6541362,26.0589142
6.672722,34.6053467
6.6913078,10.1527405
6.7098936,37.7011108
6.7284794,16.2504425
6.7470652,7.80073547
6.765651,5.352005
6.7842368,-6.09576416
6.8028226,25.4574432
6.8214084,13.0116119
6.8399942,33.5667419
6.85858,0.122848511
6.8771658,47.6799164
6.8957516,14.2379608
6.9143374,47.7969666
6.9329232,27.3569336
6.951509,25.9178772
6.9700948,24.4797821
6.9886806,39.0426483
7.0072664,43.6064911
7.0258522,30.1712952
7.044438,28.7370758
7.0630238,16.3038177
7.0816096,28.871521
7.1001954,-7.55979919
7.1187812,-17.9901581
7.137367,6.91540527
7.1559528,5.82192993
7.1745386,-11.2705841
7.1931244,12.6378784
7.2117102,31.5473022
7.230296,-13.5422974
7.2488818,4.36906433
7.2674676,7.28138733
7.2860534,-5.80531311
7.3046392,24.1089478
7.323225,29.0241852
7.3418108,18.9403839
7.3603966,23.8575439
7.3789824,44.7756805
7.3975682,-6.30522156
7.416154,16.6148376
7.4347398,-5.46412659
7.4533256,1.45788574
7.4719114,-19.6191559
7.4904972,21.3047791
7.509083,3.22969055
7.5276688,-3.8444519
7.5462546,-0.917617798
7.5648404,-1.98980713
7.5834262,-1.06103516
7.602012,4.86869812
7.6205978,-8.20059204
7.6391836,4.7310791
7.6577694,1.66371155
7.6763552,9.59732056
7.694941,-7.46810913
7.7135268,-11.5325623
7.7321126,-0.954330444
7.7506984,19.6248627
7.7692842,10.2050323
7.78787,21.7861633
7.8064558,-2.63174438
7.8250416,-11.0486755
7.8436274,-10.4646454
7.8622132,0.120346069
7.880799,-11.2936859
7.8993848,1.29325867
7.9179706,-24.1188507
7.9365564,13.4700165
7.9551422,1.05986023
7.973728,-11.3493347
7.9923138,0.242431641
8.0108996,-18.1648407
8.0294854,8.42886353
8.0480712,-6.97645569
8.066657,-1.3808136
8.0852428,2.21578979
8.1038286,-14.1866455
8.1224144,2.41189575
8.1410002,-21.9886017
8.159586,-1.65621948
8.1781718,-1.32286072
8.1967576,-16.9885559
8.2153434,2.14186096
8.2339292,1.27325439
8.252515,-15.5943909
8.2711008,13.5389252
8.2896866,3.67321777
8.3082724,-5.19152832
8.3268582,12.9447021
8.345444,24.0818939
8.3640298,-3.779953
8.3826156,7.35917664
