'y-axis saved as y
'x,ML_Wallace_03012020_1_NN_1_ZrP_900CCrucible_5-60_4min_BkgSubtracted.raw_1
5,-22.2261353
5.0185858,-6.70779419
5.0371716,38.811676
5.0557574,-16.6677246
5.0743432,40.8540344
5.092929,38.3769226
5.1115148,63.9009705
5.1301006,12.4261169
5.1486864,-21.0475769
5.1672722,-15.5361633
5.185858,33.9764099
5.2044438,12.4900818
5.2230296,-5.99505615
5.2416154,20.5209045
5.2602012,-2.9619751
5.278787,-6.44372559
5.2973728,25.0756836
5.3159586,18.5961914
5.3345444,32.1178894
5.3531302,34.640686
5.371716,19.1646423
5.3903018,6.68972778
5.4088876,31.2159729
5.4274734,4.74334717
5.4460592,-22.7281494
5.464645,7.80148315
5.4832308,25.3322754
5.5018166,42.8642273
5.5204024,24.3972778
5.5389882,-9.06851196
5.557574,16.4668274
5.5761598,9.00332642
5.5947456,-1.45904541
5.6133314,-9.92028809
5.6319172,0.619628906
5.650503,34.1606445
5.6690888,-28.2971497
5.6876746,12.2461548
5.7062604,-19.2093811
5.7248462,-15.8072815
5.743432,-12.4040527
5.7620178,14.0003357
5.7806036,-64.5941467
5.7991894,-10.1874695
5.8177752,2.2203064
5.836361,13.6292419
5.8549468,37.0393372
5.8735326,13.450531
5.8921184,-0.137115479
5.9107042,-12.7236023
5.92929,-24.30896
5.9478758,22.1068115
5.9664616,-23.4762878
5.9850474,18.9417725
6.0036332,24.3609619
6.022219,5.78128052
6.0408048,12.2027588
6.0593906,33.6253662
6.0779764,40.0491333
6.0965622,21.473999
6.115148,8.90005493
6.1337338,-4.67279053
6.1523196,24.7555237
6.1709054,32.184967
6.1894912,31.6155396
6.208077,26.0472717
6.2266628,-3.51986694
6.2452486,71.9141541
6.2638344,0.349304199
6.2824202,17.7855835
6.301006,8.22299194
6.3195918,-5.33843994
6.3381776,-0.898742676
6.3567634,46.5421143
6.3753492,22.9841003
6.393935,-23.5727844
6.4125208,8.87145996
6.4311066,-2.68313599
6.4496924,-3.23660278
6.4682782,-4.78890991
6.486864,9.65991211
6.5054498,-15.8901367
6.5240356,24.5609741
6.5426214,-8.98681641
6.5612072,-10.5334167
6.579793,-9.07891846
6.5983788,-1.6232605
6.6169646,3.83352661
6.6355504,20.2914734
6.6541362,16.7505493
6.672722,-19.7892456
6.6913078,-10.3278809
6.7098936,12.134613
6.7284794,12.5982361
6.7470652,36.0630035
6.765651,11.5289154
6.7842368,14.9959564
6.8028226,1.4641571
6.8214084,-15.0665131
6.8399942,-8.90408325
6.85858,-1.74052429
6.8771658,8.42419434
6.8957516,10.5900269
6.9143374,5.75701904
6.9329232,-9.07485962
6.951509,-8.90559387
6.9700948,-4.73518372
6.9886806,22.4363556
7.0072664,-12.3909607
7.0258522,-2.21714783
7.044438,0.957824707
7.0630238,9.13392639
7.0816096,6.31115723
7.1001954,-0.510467529
7.1187812,-4.33094788
7.137367,-4.15028381
7.1559528,15.0315094
7.1745386,-16.785553
7.1931244,-13.6014709
7.2117102,6.31820679
7.230296,-0.760986328
7.2488818,-9.83903503
7.2674676,-4.91593933
7.2860534,-2.99171448
7.3046392,2.93365479
7.323225,19.8601532
7.3418108,-0.212188721
7.3603966,-1.28340149
7.3789824,10.6465302
7.3975682,6.57759094
7.416154,-13.4902039
7.4347398,-6.31015015
7.4533256,19.871048
7.4719114,-9.94662476
7.4904972,-2.76315308
7.509083,17.421463
7.5276688,-17.3927917
7.5462546,14.7940979
7.5648404,-13.017868
7.5834262,-2.82870483
7.602012,-1.63839722
7.6205978,4.55305481
7.6391836,-15.254364
7.6577694,15.9393616
7.6763552,-4.86576843
7.694941,0.330245972
7.7135268,-5.47261047
7.7321126,-8.27432251
7.7506984,-11.0749054
7.7692842,-11.8743439
7.78787,-10.9698944
7.8064558,-5.0643158
7.8250416,-7.15759277
7.8436274,-2.2497406
7.8622132,8.65927124
7.880799,-13.4305878
7.8993848,0.480682373
7.9179706,2.39309692
7.9365564,-25.6933441
7.9551422,5.22135925
7.973728,11.1371918
7.9923138,-18.9458313
8.0108996,-0.0277099609
8.0294854,2.89154053
8.0480712,-17.1880646
8.066657,12.7334747
8.0852428,0.656158447
8.1038286,-9.42002869
8.1224144,-1.49508667
8.1410002,5.43101501
8.159586,0.35824585
8.1781718,-20.7133789
8.1967576,10.2161255
8.2153434,8.14677429
8.2339292,5.0785675
8.252515,-11.9885101
8.2711008,-4.82817078
8.2896866,8.33329773
8.3082724,-5.50408936
8.3268582,26.659668
8.345444,14.8245697
8.3640298,-6.00939941
8.3826156,6.15776825
8.4012014,13.326088
8.4197872,-1.5044632
8.438373,3.66613007
8.4569588,-8.16213989
8.4755446,2.01072693
8.4941304,14.1847382
8.5127162,16.3598862
8.531302,0.536178589
8.5498878,7.71360016
8.5684736,-2.10782623
8.5870594,13.0718765
