'y-axis saved as y
'x,ML_Wallace_04122019_1_NN_1_ZrP_CrucibleRetest_5-60_4min_BkgSubtracted.raw
5,-22.6052856
5.0185858,-22.4499512
5.0371716,-12.9587402
5.0557574,-8.46685791
5.0743432,0.0258178711
5.092929,-11.480835
5.1115148,18.0132446
5.1301006,-11.4919739
5.1486864,27.00354
5.1672722,14.4997864
5.185858,-17.0032349
5.2044438,21.4944458
5.2230296,11.9928589
5.2416154,-23.5080261
5.2602012,14.9918518
5.278787,-37.5075989
5.2973728,36.9937134
5.3159586,29.4957275
5.3345444,37.9984436
5.3531302,-5.49807739
5.371716,-20.9938965
5.3903018,5.4046936
5.4088876,8.8039856
5.4274734,-14.79599
5.4460592,7.60476685
5.464645,-67.9937744
5.4832308,-7.37350464
5.5018166,-7.75250244
5.5204024,-0.13079834
5.5389882,27.4916382
5.557574,-7.88519287
5.5761598,-19.261322
5.5947456,-9.63671875
5.6133314,-19.0113831
5.6319172,29.6146545
5.650503,41.2414246
5.6690888,-15.1311035
5.6876746,-18.5028687
5.7062604,8.1260376
5.7248462,-25.2442932
5.743432,13.3860779
5.7620178,37.0171814
5.7806036,-25.3510132
5.7991894,28.2815247
5.8177752,31.9147949
5.836361,21.5487671
5.8549468,10.1834717
5.8735326,15.8188782
5.8921184,-5.54495239
5.9107042,15.0918884
5.92929,-3.27050781
5.9478758,9.36779785
5.9664616,-18.9931641
5.9850474,-8.49441528
6.0036332,14.0050354
6.022219,19.5052185
6.0408048,3.00610352
6.0593906,-5.49224854
6.0779764,14.0100708
6.0965622,27.5131531
6.115148,17.0169373
6.1337338,27.5214539
6.1523196,-19.9733276
6.1709054,-18.4673767
6.1894912,25.0393066
6.208077,9.54669189
6.2266628,4.05480957
6.2452486,12.5636597
6.2638344,22.0732117
6.2824202,20.5834961
6.301006,15.0945129
6.3195918,-1.39376831
6.3381776,-2.88131714
6.3567634,21.6318359
6.3753492,4.14572144
6.393935,4.66033936
6.4125208,15.1756897
6.4311066,17.6917419
